opponent_name,champ_amumu
lee sin,50.05
hecarim,50.16
graves,51.39
diana,49.65
master yi,52.65
viego,51.70
xin zhao,48.13
kayn,48.58
shaco,48.86
nidalee,53.12
ekko,43.68
zac,47.13
kindred,46.06
nocturne,48.28
jarvan iv,48.77
poppy,50.70
nunu & willump,46.77
vi,46.44
kha'zix,50.87
warwick,49.11
elise,48.85
rek'sai,44.19
rammus,46.60
trundle,44.97
fiddlesticks,46.56
zed,50.00
talon,53.38
sejuani,49.26
evelynn,49.62
shyvana,44.70
volibear,42.15
gwen,55.45
karthus,46.15
lillia,45.35
olaf,44.44
udyr,43.59
taliyah,42.86
gragas,52.94
