opponent_name,champ_diana
lee sin,52.62
graves,50.77
hecarim,50.75
viego,49.43
xin zhao,50.14
master yi,50.90
kayn,50.22
nidalee,53.25
ekko,49.01
shaco,50.53
kindred,49.24
zac,49.45
nocturne,48.21
jarvan iv,51.82
poppy,51.34
kha'zix,50.63
rek'sai,50.64
elise,49.10
nunu & willump,50.00
vi,50.40
zed,51.91
warwick,45.33
fiddlesticks,49.68
rammus,48.06
talon,48.85
trundle,46.00
volibear,46.62
evelynn,50.72
shyvana,46.69
sejuani,48.25
gwen,56.21
amumu,50.35
karthus,52.87
lillia,55.68
udyr,51.69
taliyah,50.97
olaf,50.52
gragas,52.38
rengar,52.37
ivern,48.63
qiyana,53.85
