opponent_name,champ_ekko
lee sin,52.03
graves,50.04
hecarim,50.21
diana,50.99
viego,52.42
master yi,52.04
kayn,50.00
xin zhao,49.85
nidalee,50.65
shaco,49.37
kindred,47.85
nocturne,46.76
zac,50.42
jarvan iv,51.38
poppy,50.44
rek'sai,51.85
kha'zix,48.55
elise,47.15
nunu & willump,52.24
vi,47.65
zed,54.11
warwick,52.03
rammus,52.06
fiddlesticks,48.72
trundle,50.26
talon,48.32
evelynn,45.79
volibear,49.89
sejuani,48.02
shyvana,50.45
amumu,56.32
gwen,57.60
karthus,51.16
lillia,50.16
taliyah,47.84
udyr,55.26
gragas,48.65
rengar,48.54
olaf,48.19
ivern,47.06
qiyana,52.17
