opponent_name,champ_elise
lee sin,54.39
hecarim,51.05
graves,50.97
diana,50.90
viego,54.31
master yi,57.41
nidalee,54.07
xin zhao,55.02
kayn,52.28
kindred,55.20
ekko,52.85
shaco,47.36
rek'sai,53.33
nocturne,45.72
jarvan iv,49.19
kha'zix,47.14
zac,47.61
poppy,49.93
nunu & willump,51.90
zed,53.95
vi,49.61
warwick,53.21
fiddlesticks,47.46
rammus,50.39
talon,50.81
trundle,50.83
evelynn,54.49
volibear,46.98
sejuani,50.00
shyvana,51.38
gwen,62.84
amumu,51.15
karthus,57.21
taliyah,51.81
udyr,46.02
lillia,54.94
olaf,61.25
gragas,54.26
rengar,56.60
ivern,47.96
qiyana,52.05
