opponent_name,champ_evelynn
lee sin,51.35
graves,50.78
hecarim,47.97
diana,49.28
viego,49.06
master yi,49.61
xin zhao,53.26
kayn,50.44
shaco,47.70
nidalee,52.99
ekko,54.21
kindred,49.62
nocturne,47.42
kha'zix,49.27
zac,45.97
jarvan iv,53.26
nunu & willump,50.63
poppy,49.19
elise,45.51
vi,43.75
rek'sai,45.39
zed,57.43
warwick,47.28
rammus,48.53
fiddlesticks,43.50
talon,50.00
trundle,53.89
sejuani,48.94
shyvana,41.61
volibear,47.01
amumu,50.38
gwen,60.00
karthus,57.66
udyr,50.53
taliyah,50.55
lillia,50.00
rengar,46.15
olaf,45.76
