opponent_name,champ_fiddlesticks
lee sin,53.48
hecarim,51.53
graves,51.95
diana,50.32
viego,54.32
master yi,53.77
kayn,52.89
xin zhao,53.37
shaco,52.70
nidalee,55.74
ekko,51.28
kindred,50.74
jarvan iv,49.35
zac,50.19
nocturne,53.43
elise,52.54
kha'zix,49.15
nunu & willump,53.56
poppy,54.22
rek'sai,48.34
vi,51.55
zed,54.30
warwick,46.85
talon,53.30
evelynn,56.50
trundle,51.26
shyvana,44.21
amumu,53.44
rammus,50.53
sejuani,49.71
volibear,46.91
karthus,47.06
udyr,44.78
gwen,59.69
taliyah,48.74
olaf,56.41
lillia,56.70
gragas,56.34
rengar,56.60
