opponent_name,champ_graves
lee sin,51.97
hecarim,50.31
diana,49.23
viego,49.64
master yi,51.78
xin zhao,52.05
nidalee,49.14
kayn,51.87
kindred,49.56
ekko,49.96
shaco,51.93
nocturne,48.09
jarvan iv,50.46
zac,49.74
kha'zix,48.97
poppy,47.45
rek'sai,51.61
elise,49.03
nunu & willump,49.15
vi,47.74
zed,53.69
warwick,48.47
talon,47.31
rammus,47.26
fiddlesticks,48.05
trundle,49.31
evelynn,49.22
shyvana,45.74
volibear,50.67
sejuani,47.90
gwen,56.38
amumu,48.61
karthus,55.69
taliyah,48.27
lillia,52.27
udyr,50.24
gragas,52.22
olaf,54.14
rengar,57.65
qiyana,50.61
ivern,51.33
