opponent_name,champ_gwen
lee sin,44.65
graves,43.62
hecarim,46.25
diana,43.79
viego,42.49
master yi,39.50
xin zhao,45.68
kayn,42.68
shaco,42.58
ekko,42.40
nidalee,41.29
zac,43.02
kindred,42.07
nocturne,44.35
jarvan iv,47.52
poppy,38.57
rek'sai,45.59
vi,44.98
kha'zix,42.54
nunu & willump,37.89
elise,37.16
warwick,48.51
rammus,40.20
zed,40.70
trundle,44.06
sejuani,50.00
fiddlesticks,40.31
talon,44.53
evelynn,40.00
shyvana,36.28
volibear,50.91
karthus,41.75
amumu,44.55
lillia,41.98
taliyah,30.65
udyr,42.62
olaf,49.15
