opponent_name,champ_hecarim
lee sin,52.04
graves,49.69
diana,49.25
viego,50.32
xin zhao,49.99
master yi,50.77
kayn,49.36
nidalee,51.30
kindred,48.82
shaco,49.52
ekko,49.79
nocturne,47.02
zac,48.67
jarvan iv,49.44
rek'sai,49.49
poppy,49.73
kha'zix,49.59
nunu & willump,49.14
elise,48.95
vi,49.45
warwick,49.57
zed,53.31
trundle,47.66
fiddlesticks,48.47
rammus,47.37
talon,50.17
volibear,46.60
sejuani,46.65
evelynn,52.03
shyvana,46.93
amumu,49.84
gwen,53.75
karthus,52.99
lillia,49.86
udyr,51.84
taliyah,50.26
olaf,49.15
gragas,50.53
rengar,54.46
ivern,48.82
qiyana,54.17
