opponent_name,champ_jarvaniv
lee sin,52.31
hecarim,50.53
graves,49.54
diana,48.18
viego,48.56
xin zhao,49.65
kayn,47.47
master yi,47.26
nidalee,49.50
kindred,48.92
shaco,47.34
ekko,48.62
nocturne,46.17
zac,50.19
poppy,46.20
rek'sai,47.48
kha'zix,47.87
elise,50.81
nunu & willump,49.29
vi,48.90
warwick,44.57
zed,49.00
fiddlesticks,50.65
talon,46.72
trundle,50.31
rammus,48.41
sejuani,51.01
volibear,48.18
evelynn,46.74
shyvana,51.48
amumu,51.23
gwen,52.48
karthus,48.02
lillia,51.45
udyr,52.02
taliyah,49.04
gragas,47.22
olaf,46.10
rengar,48.31
ivern,50.00
qiyana,46.51
