opponent_name,champ_karthus
lee sin,50.19
hecarim,47.01
graves,44.31
diana,47.13
viego,48.55
master yi,45.63
kayn,48.06
xin zhao,53.70
shaco,48.24
kindred,46.01
nidalee,44.68
ekko,48.84
zac,49.69
nocturne,45.02
rek'sai,52.19
poppy,50.56
kha'zix,44.53
jarvan iv,51.98
nunu & willump,43.48
elise,42.79
rammus,47.98
zed,48.13
vi,51.09
warwick,50.30
fiddlesticks,52.94
talon,47.54
sejuani,42.11
evelynn,42.34
volibear,38.18
gwen,58.25
trundle,49.49
shyvana,39.56
amumu,53.85
udyr,46.25
taliyah,48.05
lillia,57.75
