opponent_name,champ_kayn
lee sin,51.60
hecarim,50.64
graves,48.13
diana,49.78
viego,49.79
master yi,49.10
xin zhao,52.26
shaco,49.66
nidalee,49.91
ekko,50.00
kindred,47.01
zac,50.65
nocturne,45.55
jarvan iv,52.53
poppy,44.43
kha'zix,50.79
rek'sai,47.41
nunu & willump,49.40
vi,44.63
elise,47.72
warwick,48.82
zed,54.12
fiddlesticks,47.11
rammus,47.37
talon,48.96
trundle,51.91
sejuani,48.42
evelynn,49.56
volibear,46.36
shyvana,48.35
amumu,51.42
karthus,51.94
gwen,57.32
udyr,49.40
lillia,48.84
taliyah,49.28
olaf,52.76
gragas,50.64
rengar,54.38
ivern,49.12
qiyana,46.92
