opponent_name,champ_khazix
lee sin,50.65
graves,51.03
hecarim,50.41
diana,49.37
master yi,54.39
viego,50.95
xin zhao,52.99
kayn,49.21
nidalee,48.44
shaco,48.77
kindred,52.26
ekko,51.45
nocturne,45.24
jarvan iv,52.13
zac,48.90
poppy,51.49
rek'sai,47.73
elise,52.86
zed,52.75
nunu & willump,48.72
vi,50.92
warwick,51.72
talon,53.35
rammus,46.51
evelynn,50.73
fiddlesticks,50.85
trundle,51.50
volibear,42.19
sejuani,50.68
shyvana,50.68
karthus,55.47
amumu,49.13
gwen,57.46
taliyah,50.68
udyr,49.51
lillia,60.00
rengar,59.65
gragas,54.70
olaf,53.93
ivern,41.03
qiyana,46.75
