opponent_name,champ_kindred
lee sin,50.60
graves,50.44
hecarim,51.18
diana,50.76
viego,52.21
xin zhao,52.24
kayn,52.99
master yi,49.35
nidalee,50.18
shaco,45.10
ekko,52.09
jarvan iv,51.08
nocturne,49.44
zac,51.89
poppy,50.38
kha'zix,47.74
rek'sai,50.00
elise,44.80
nunu & willump,48.82
vi,49.64
warwick,48.50
zed,48.86
fiddlesticks,49.26
rammus,46.27
trundle,53.49
sejuani,47.18
evelynn,50.38
talon,48.83
volibear,51.97
karthus,53.99
shyvana,47.92
amumu,53.94
gwen,57.93
taliyah,47.34
lillia,57.14
udyr,49.66
gragas,49.34
rengar,56.13
ivern,50.00
olaf,51.16
qiyana,49.11
