opponent_name,champ_leesin
graves,48.03
hecarim,47.96
diana,47.38
viego,50.03
xin zhao,49.32
nidalee,49.94
master yi,49.84
kayn,48.40
poppy,45.51
ekko,47.96
shaco,46.72
rek'sai,46.86
jarvan iv,47.69
kindred,49.40
nocturne,44.86
zac,45.02
elise,45.61
kha'zix,49.35
zed,49.86
vi,45.78
nunu & willump,47.36
warwick,45.80
rammus,45.19
trundle,47.81
talon,47.03
fiddlesticks,46.52
volibear,44.63
sejuani,46.54
evelynn,48.65
gwen,55.35
amumu,49.95
shyvana,45.77
karthus,49.81
taliyah,47.02
lillia,48.49
udyr,49.79
gragas,48.22
olaf,49.87
rengar,52.33
ivern,47.38
qiyana,49.27
