opponent_name,champ_nidalee
lee sin,50.06
graves,50.86
hecarim,48.70
diana,46.75
viego,51.71
master yi,49.85
kayn,50.09
xin zhao,49.98
kindred,49.82
shaco,49.50
ekko,49.35
nocturne,43.04
kha'zix,51.56
jarvan iv,50.50
zac,48.26
rek'sai,46.80
elise,45.93
poppy,46.58
nunu & willump,49.05
zed,50.31
vi,46.87
warwick,44.87
talon,47.86
fiddlesticks,44.26
rammus,49.00
evelynn,47.01
trundle,49.82
sejuani,44.66
volibear,50.29
shyvana,49.02
amumu,46.88
karthus,55.32
taliyah,51.69
lillia,45.95
gwen,58.71
udyr,48.74
rengar,51.44
gragas,50.00
olaf,58.60
ivern,50.29
qiyana,52.17
