opponent_name,champ_nocturne
lee sin,55.14
hecarim,52.98
graves,51.91
diana,51.79
viego,53.49
master yi,54.57
xin zhao,54.12
kayn,54.45
shaco,50.22
nidalee,56.96
ekko,53.24
kindred,50.56
jarvan iv,53.83
zac,51.00
kha'zix,54.76
rek'sai,51.88
poppy,53.37
vi,50.67
nunu & willump,52.82
elise,54.28
warwick,52.17
zed,53.06
rammus,51.03
trundle,54.05
talon,50.30
fiddlesticks,46.57
evelynn,52.58
volibear,49.53
shyvana,44.39
sejuani,49.51
amumu,51.72
gwen,55.65
karthus,54.98
lillia,56.51
udyr,53.39
taliyah,50.22
olaf,53.55
gragas,51.15
rengar,61.43
ivern,53.85
qiyana,54.69
