opponent_name,champ_nunu
lee sin,52.62
hecarim,50.86
graves,50.82
diana,50.00
viego,51.49
master yi,48.46
kayn,50.60
xin zhao,52.37
shaco,50.53
nidalee,50.95
ekko,47.76
kindred,51.18
nocturne,47.18
zac,49.69
jarvan iv,50.71
rek'sai,46.56
poppy,51.77
kha'zix,51.28
elise,48.10
vi,44.94
zed,50.67
warwick,49.90
trundle,45.55
fiddlesticks,46.44
rammus,46.70
talon,52.87
evelynn,49.37
sejuani,47.71
volibear,50.00
shyvana,48.39
amumu,53.23
gwen,62.11
karthus,56.52
udyr,51.03
lillia,51.30
taliyah,48.60
olaf,49.21
gragas,52.34
rengar,55.68
ivern,41.56
qiyana,53.23
