opponent_name,champ_poppy
lee sin,54.49
hecarim,50.24
graves,52.55
diana,48.66
viego,50.70
kayn,55.57
xin zhao,52.43
master yi,52.97
nidalee,53.42
kindred,49.62
ekko,49.56
zac,50.54
jarvan iv,53.80
shaco,48.77
nocturne,46.63
rek'sai,49.24
kha'zix,48.51
vi,50.81
elise,50.07
nunu & willump,48.23
trundle,49.29
warwick,49.02
zed,49.15
talon,49.34
rammus,46.85
fiddlesticks,45.78
shyvana,44.74
volibear,46.99
sejuani,43.22
evelynn,50.81
gwen,61.43
amumu,49.30
karthus,49.44
lillia,47.94
taliyah,50.67
udyr,50.23
olaf,50.24
gragas,60.84
rengar,59.63
ivern,58.97
qiyana,58.67
