opponent_name,champ_rammus
lee sin,54.81
master yi,55.24
hecarim,52.63
graves,52.74
diana,51.94
viego,54.43
kayn,52.63
xin zhao,54.47
ekko,47.94
nidalee,51.00
shaco,46.60
kindred,53.73
zac,44.91
nocturne,48.97
jarvan iv,51.59
trundle,43.29
poppy,53.15
kha'zix,53.49
rek'sai,52.02
elise,49.61
nunu & willump,53.30
vi,50.30
warwick,52.37
zed,56.31
talon,55.20
evelynn,51.47
gwen,59.80
karthus,52.02
sejuani,48.72
amumu,53.40
shyvana,51.06
fiddlesticks,49.47
lillia,47.02
volibear,44.83
taliyah,45.59
udyr,51.54
olaf,57.02
gragas,44.83
rengar,55.17
