opponent_name,champ_reksai
lee sin,53.14
hecarim,50.51
graves,48.39
diana,49.36
viego,54.20
xin zhao,53.83
master yi,54.15
kayn,52.59
nidalee,53.20
kindred,50.00
shaco,47.95
ekko,48.15
nocturne,48.12
jarvan iv,52.52
zac,52.07
elise,46.67
poppy,50.76
kha'zix,52.27
nunu & willump,53.44
vi,50.00
zed,54.15
warwick,50.80
talon,48.51
rammus,47.98
fiddlesticks,51.66
trundle,51.47
volibear,46.93
sejuani,54.49
karthus,47.81
evelynn,54.61
gwen,54.41
shyvana,48.82
taliyah,46.00
amumu,55.81
udyr,44.08
lillia,53.23
olaf,47.46
gragas,54.29
rengar,63.37
qiyana,43.68
ivern,53.49
