opponent_name,champ_sejuani
lee sin,53.46
hecarim,53.35
graves,52.10
diana,51.75
viego,51.58
kayn,51.58
master yi,52.17
xin zhao,54.71
kindred,52.82
nidalee,55.34
shaco,51.06
zac,48.92
ekko,51.98
nocturne,50.49
jarvan iv,48.99
rek'sai,45.51
poppy,56.78
nunu & willump,52.29
kha'zix,49.32
trundle,54.48
elise,50.00
vi,53.20
zed,51.98
warwick,52.51
rammus,51.28
talon,50.56
fiddlesticks,50.29
volibear,50.00
evelynn,51.06
amumu,50.74
gwen,50.00
shyvana,49.57
karthus,57.89
lillia,51.92
udyr,61.29
taliyah,53.33
olaf,48.78
