opponent_name,champ_shaco
lee sin,53.28
hecarim,50.48
graves,48.07
diana,49.47
viego,54.84
master yi,56.64
kayn,50.34
xin zhao,53.79
nidalee,50.50
kindred,54.90
ekko,50.63
nocturne,49.78
zac,48.77
jarvan iv,52.66
kha'zix,51.23
nunu & willump,49.47
rek'sai,52.05
poppy,51.23
elise,52.64
vi,51.15
zed,53.97
warwick,52.01
fiddlesticks,47.30
talon,47.79
evelynn,52.30
rammus,53.40
trundle,51.98
volibear,51.42
sejuani,48.94
karthus,51.76
shyvana,52.67
amumu,51.14
gwen,57.42
lillia,51.26
udyr,53.23
taliyah,49.50
olaf,52.72
gragas,57.71
rengar,58.92
ivern,53.44
qiyana,47.79
