opponent_name,champ_shyvana
lee sin,54.23
hecarim,53.07
graves,54.26
diana,53.31
viego,49.38
master yi,53.16
xin zhao,55.87
kayn,51.65
nidalee,50.98
shaco,47.33
ekko,49.55
kindred,52.08
nocturne,55.61
zac,49.88
jarvan iv,48.52
poppy,55.26
kha'zix,49.32
nunu & willump,51.61
vi,51.91
warwick,49.61
rek'sai,51.18
elise,48.62
zed,51.72
fiddlesticks,55.79
rammus,48.94
trundle,47.54
talon,50.00
evelynn,58.39
volibear,52.27
amumu,54.55
sejuani,50.43
gwen,63.72
karthus,60.44
lillia,56.82
udyr,51.28
taliyah,56.16
