opponent_name,champ_talon
lee sin,52.97
graves,52.69
hecarim,49.83
diana,51.15
viego,53.14
xin zhao,50.97
kayn,51.04
master yi,50.26
nidalee,52.14
shaco,52.21
ekko,51.68
kindred,51.17
nocturne,49.70
jarvan iv,53.28
zac,51.18
poppy,50.66
kha'zix,46.65
rek'sai,51.49
zed,52.96
elise,49.19
nunu & willump,47.13
vi,46.65
warwick,50.39
rammus,44.80
fiddlesticks,46.70
trundle,50.26
evelynn,50.00
sejuani,49.44
volibear,49.35
amumu,46.62
shyvana,50.00
gwen,55.47
lillia,70.63
karthus,52.46
taliyah,55.17
udyr,54.81
olaf,64.29
rengar,55.88
gragas,51.56
qiyana,52.94
ivern,64.00
