opponent_name,champ_udyr
lee sin,50.21
hecarim,48.16
graves,49.76
diana,48.31
master yi,55.61
viego,48.68
xin zhao,48.70
kayn,50.60
nidalee,51.26
shaco,46.77
kindred,50.34
ekko,44.74
nocturne,46.61
zac,46.90
jarvan iv,47.98
poppy,49.77
rek'sai,55.92
kha'zix,50.49
nunu & willump,48.97
elise,53.98
warwick,38.10
vi,42.77
trundle,52.67
zed,54.68
fiddlesticks,55.22
rammus,48.46
talon,45.19
volibear,41.05
evelynn,49.47
sejuani,38.71
karthus,53.75
shyvana,48.72
amumu,56.41
lillia,47.69
gwen,57.38
taliyah,44.44
