opponent_name,champ_vi
lee sin,54.22
hecarim,50.55
graves,52.26
diana,49.60
viego,50.49
master yi,54.73
kayn,55.37
xin zhao,51.90
nidalee,53.13
ekko,52.35
shaco,48.85
nocturne,49.33
kindred,50.36
zac,50.27
poppy,49.19
jarvan iv,51.10
rek'sai,50.00
kha'zix,49.08
nunu & willump,55.06
elise,50.39
warwick,50.72
zed,54.46
fiddlesticks,48.45
trundle,51.86
talon,53.35
rammus,49.70
volibear,55.71
evelynn,56.25
shyvana,48.09
sejuani,46.80
amumu,53.56
gwen,55.02
karthus,48.91
taliyah,47.40
lillia,50.89
udyr,57.23
olaf,53.59
gragas,45.92
rengar,59.77
qiyana,63.08
ivern,43.75
