opponent_name,champ_viego
lee sin,49.97
hecarim,49.68
graves,50.36
diana,50.56
master yi,51.48
xin zhao,51.04
kayn,50.21
nidalee,48.29
ekko,47.58
shaco,45.16
kindred,47.79
nocturne,46.51
zac,46.07
jarvan iv,51.44
rek'sai,45.80
kha'zix,49.05
poppy,49.30
nunu & willump,48.51
elise,45.69
vi,49.51
warwick,47.02
zed,53.37
trundle,47.32
talon,46.86
fiddlesticks,45.68
rammus,45.57
sejuani,48.42
volibear,46.96
evelynn,50.94
gwen,57.51
shyvana,50.62
amumu,48.30
karthus,51.45
taliyah,50.39
lillia,46.98
udyr,51.32
olaf,54.42
gragas,51.15
rengar,47.96
ivern,50.70
qiyana,48.85
