opponent_name,champ_volibear
lee sin,55.37
hecarim,53.40
graves,49.33
diana,53.38
viego,53.04
xin zhao,54.65
master yi,53.23
kayn,53.64
nidalee,49.71
shaco,48.58
ekko,50.11
kindred,48.03
zac,48.12
nocturne,50.47
jarvan iv,51.82
rek'sai,53.07
poppy,53.01
kha'zix,57.81
nunu & willump,50.00
elise,53.02
vi,44.29
warwick,55.17
zed,60.00
trundle,46.45
fiddlesticks,53.09
talon,50.65
sejuani,50.00
rammus,55.17
evelynn,52.99
shyvana,47.73
amumu,57.85
karthus,61.82
gwen,49.09
taliyah,63.46
udyr,58.95
lillia,52.33
olaf,53.13
