opponent_name,champ_warwick
lee sin,54.20
hecarim,50.43
graves,51.53
diana,54.67
master yi,53.71
viego,52.98
xin zhao,55.23
kayn,51.18
ekko,47.97
nidalee,55.13
nocturne,47.83
kindred,51.50
shaco,47.99
zac,50.82
jarvan iv,55.43
poppy,50.98
kha'zix,48.28
nunu & willump,50.10
rek'sai,49.20
elise,46.79
vi,49.28
trundle,50.39
zed,55.50
rammus,47.63
fiddlesticks,53.15
volibear,44.83
shyvana,50.39
talon,49.61
evelynn,52.72
amumu,50.89
sejuani,47.49
gwen,51.49
udyr,61.90
karthus,49.70
lillia,49.07
taliyah,48.13
olaf,53.42
rengar,64.77
gragas,53.49
