opponent_name,champ_xinzhao
lee sin,50.68
hecarim,50.01
graves,47.95
diana,49.86
viego,48.96
master yi,48.56
kayn,47.74
nidalee,50.02
kindred,47.76
shaco,46.21
ekko,50.15
nocturne,45.88
jarvan iv,50.35
zac,46.88
kha'zix,47.01
rek'sai,46.17
poppy,47.57
elise,44.98
nunu & willump,47.63
vi,48.10
warwick,44.77
trundle,46.19
zed,51.44
talon,49.03
rammus,45.53
fiddlesticks,46.63
evelynn,46.74
volibear,45.35
shyvana,44.13
sejuani,45.29
gwen,54.32
amumu,51.87
karthus,46.30
udyr,51.30
lillia,47.17
taliyah,48.78
olaf,45.73
gragas,48.36
rengar,52.80
ivern,51.50
qiyana,55.00
