opponent_name,champ_zac
lee sin,54.98
hecarim,51.33
graves,50.26
diana,50.55
viego,53.93
kayn,49.35
master yi,54.98
xin zhao,53.12
shaco,51.23
kindred,48.11
ekko,49.58
nidalee,51.74
poppy,49.46
nocturne,49.00
jarvan iv,49.81
rek'sai,47.93
kha'zix,51.10
nunu & willump,50.31
vi,49.73
elise,52.39
warwick,49.18
zed,48.88
trundle,48.06
rammus,55.09
fiddlesticks,49.81
talon,48.82
sejuani,51.08
volibear,51.88
shyvana,50.12
amumu,52.87
evelynn,54.03
gwen,56.98
lillia,52.85
karthus,50.31
udyr,53.10
taliyah,54.79
gragas,48.11
olaf,48.85
rengar,58.41
ivern,57.30
qiyana,38.96
