opponent_name,champ_zed
lee sin,50.14
graves,46.31
hecarim,46.69
diana,48.09
viego,46.63
master yi,46.32
kayn,45.88
xin zhao,48.56
nidalee,49.69
ekko,45.89
shaco,46.03
kindred,51.14
nocturne,46.94
kha'zix,47.25
zac,51.12
jarvan iv,51.00
rek'sai,45.85
poppy,50.85
elise,46.05
nunu & willump,49.33
vi,45.54
talon,47.04
warwick,44.50
fiddlesticks,45.70
rammus,43.69
trundle,48.16
evelynn,42.57
volibear,40.00
sejuani,48.02
shyvana,48.28
karthus,51.87
amumu,50.00
gwen,59.30
taliyah,51.53
lillia,56.33
udyr,45.32
rengar,50.98
gragas,56.79
ivern,53.85
qiyana,46.27
olaf,46.03
