opponent_name,champ_ahri
leblanc,53.76
vex,52.69
yasuo,52.47
zed,50.02
sylas,52.11
viktor,51.86
yone,53.83
akali,53.25
veigar,48.78
ryze,56.42
katarina,49.63
talon,49.34
irelia,50.71
syndra,53.03
zoe,50.92
twisted fate,51.96
fizz,47.78
lissandra,50.66
lux,53.46
anivia,50.19
akshan,49.53
xerath,51.13
orianna,51.85
corki,55.99
kassadin,50.83
ekko,50.83
malzahar,50.94
cassiopeia,51.16
vladimir,51.47
azir,56.17
qiyana,51.63
galio,54.65
neeko,48.37
diana,50.71
lucian,54.29
zeri,54.55
sion,52.61
annie,48.64
malphite,51.09
zilean,48.70
pantheon,50.92
nunu & willump,52.28
rumble,52.03
renekton,55.07
cho'gath,46.50
aurelion sol,48.41
garen,49.02
sett,49.63
singed,50.17
