opponent_name,champ_akshan
ahri,50.47
leblanc,54.26
vex,51.12
zed,49.00
viktor,50.70
yone,53.87
yasuo,46.31
akali,56.78
sylas,54.38
ryze,54.22
katarina,50.12
veigar,47.81
talon,50.58
irelia,51.45
twisted fate,46.35
anivia,44.81
zoe,51.33
syndra,52.48
lissandra,50.41
fizz,50.12
orianna,51.31
corki,57.21
xerath,54.64
lux,50.82
malphite,40.73
cassiopeia,50.47
vladimir,50.00
lucian,59.47
malzahar,47.65
kassadin,51.58
qiyana,49.65
azir,51.81
ekko,52.01
pantheon,44.21
neeko,47.71
zeri,55.76
diana,47.34
galio,49.26
annie,46.70
sion,52.60
nunu & willump,39.58
renekton,45.45
rumble,49.14
zilean,40.59
sett,57.45
garen,49.41
cho'gath,48.53
aurelion sol,55.00
