opponent_name,champ_anivia
ahri,49.81
leblanc,56.23
vex,53.38
viktor,48.60
yasuo,53.33
zed,51.02
yone,53.93
sylas,53.03
ryze,58.94
akali,54.47
katarina,49.61
veigar,51.95
irelia,56.99
talon,51.10
xerath,47.79
corki,54.45
twisted fate,53.55
fizz,48.21
syndra,53.00
lissandra,54.42
zoe,53.15
akshan,55.19
lux,51.47
orianna,49.78
kassadin,51.22
malzahar,51.15
ekko,56.19
cassiopeia,52.84
azir,53.67
vladimir,57.14
qiyana,50.17
galio,49.81
neeko,51.44
diana,49.37
lucian,57.87
sion,62.61
zeri,53.10
annie,48.31
pantheon,52.00
nunu & willump,63.86
malphite,63.16
zilean,53.02
rumble,46.04
renekton,58.93
garen,52.75
aurelion sol,47.06
sett,60.49
cho'gath,52.56
