opponent_name,champ_annie
ahri,51.36
leblanc,54.92
yasuo,58.66
vex,56.99
viktor,54.23
zed,51.09
yone,54.36
sylas,52.80
katarina,60.31
akali,53.87
veigar,50.99
ryze,59.58
talon,51.30
irelia,58.21
xerath,45.58
syndra,59.52
zoe,55.00
akshan,53.30
twisted fate,51.93
lux,54.44
anivia,51.69
fizz,51.74
lissandra,51.61
corki,43.54
orianna,45.93
malzahar,47.41
galio,46.09
kassadin,53.51
azir,54.46
ekko,52.53
vladimir,46.46
cassiopeia,54.55
qiyana,59.55
zeri,45.57
diana,52.70
lucian,58.90
sion,41.18
neeko,48.21
malphite,48.15
zilean,52.94
