opponent_name,champ_azir
ahri,43.83
vex,44.58
viktor,47.51
leblanc,47.01
yasuo,47.52
zed,47.99
yone,46.57
sylas,46.68
akali,48.97
ryze,46.62
veigar,41.47
irelia,49.13
katarina,51.01
talon,49.01
xerath,42.20
anivia,46.33
syndra,46.25
twisted fate,49.50
corki,47.67
lissandra,46.96
zoe,45.26
akshan,48.19
lux,43.24
orianna,44.84
malzahar,51.57
fizz,45.45
ekko,44.28
cassiopeia,47.22
kassadin,48.82
vladimir,59.04
qiyana,55.56
galio,47.02
diana,48.63
lucian,59.50
zeri,47.06
sion,49.56
neeko,49.53
annie,45.54
malphite,55.29
pantheon,46.25
zilean,42.86
renekton,50.72
rumble,58.06
cho'gath,35.09
nunu & willump,34.55
sett,59.26
