opponent_name,champ_cassiopeia
ahri,48.84
vex,50.78
sylas,55.57
viktor,48.95
leblanc,53.28
zed,46.51
ryze,54.97
yasuo,53.67
yone,53.81
akali,52.26
katarina,52.38
irelia,53.59
veigar,48.79
talon,49.57
syndra,51.63
twisted fate,49.46
anivia,47.16
lissandra,48.86
xerath,46.73
orianna,50.78
akshan,49.53
zoe,48.87
lux,55.30
fizz,47.18
corki,54.11
ekko,53.33
vladimir,56.70
malzahar,47.83
galio,48.02
kassadin,53.65
azir,52.78
qiyana,47.16
diana,54.34
sion,58.39
zeri,52.53
lucian,56.69
neeko,51.59
pantheon,51.59
rumble,45.28
renekton,55.00
annie,45.45
malphite,56.12
nunu & willump,44.90
zilean,35.00
cho'gath,57.14
garen,44.07
sett,54.55
