opponent_name,champ_corki
ahri,44.01
leblanc,51.04
viktor,45.37
vex,47.37
yasuo,46.03
yone,47.66
sylas,46.45
veigar,47.20
zed,43.66
akali,52.56
ryze,50.46
talon,43.67
irelia,42.99
katarina,47.10
anivia,45.55
lissandra,49.47
twisted fate,46.41
syndra,48.65
xerath,44.94
zoe,42.24
lux,45.48
akshan,42.79
orianna,56.67
malzahar,47.77
fizz,43.85
kassadin,44.54
ekko,47.37
azir,52.33
vladimir,48.83
cassiopeia,45.89
galio,50.98
lucian,51.69
qiyana,45.54
zeri,44.76
diana,44.28
sion,51.78
neeko,43.16
malphite,48.67
annie,56.46
pantheon,45.89
rumble,51.15
nunu & willump,46.09
zilean,45.97
renekton,52.69
cho'gath,51.25
garen,43.42
sett,48.39
