opponent_name,champ_diana
ahri,49.29
zed,54.00
leblanc,53.91
sylas,50.18
vex,54.95
yone,50.48
viktor,52.82
akali,53.65
yasuo,52.77
katarina,51.40
talon,49.18
ryze,58.87
veigar,50.40
irelia,49.12
twisted fate,52.88
fizz,51.32
lux,56.33
anivia,50.63
lissandra,52.32
syndra,53.91
zoe,54.39
xerath,53.85
akshan,52.66
corki,55.72
kassadin,56.00
orianna,56.77
malzahar,53.55
cassiopeia,45.66
galio,44.64
ekko,48.80
vladimir,54.94
azir,51.37
qiyana,48.85
zeri,46.40
malphite,51.04
lucian,54.74
renekton,56.38
sion,39.08
neeko,55.81
pantheon,56.47
annie,47.30
zilean,50.68
garen,32.73
rumble,40.38
nunu & willump,58.82
