opponent_name,champ_ekko
ahri,49.17
zed,52.99
sylas,48.56
vex,54.59
viktor,52.90
leblanc,52.09
yone,51.52
yasuo,50.12
akali,48.38
katarina,52.42
veigar,53.31
ryze,51.09
talon,46.56
irelia,51.67
twisted fate,47.04
syndra,56.39
anivia,43.81
fizz,44.88
lissandra,51.83
zoe,48.13
corki,52.63
orianna,51.53
kassadin,50.34
akshan,47.99
lux,49.43
xerath,54.69
cassiopeia,46.67
malzahar,50.98
qiyana,51.10
vladimir,50.00
azir,55.72
galio,52.30
zeri,45.35
diana,51.20
neeko,51.03
sion,51.43
lucian,58.27
malphite,43.61
pantheon,55.28
zilean,44.83
nunu & willump,56.19
annie,47.47
renekton,46.07
rumble,42.86
cho'gath,43.24
garen,59.38
sett,52.38
