opponent_name,champ_fizz
ahri,52.22
zed,50.93
vex,54.98
leblanc,51.04
sylas,48.29
yasuo,51.50
akali,47.92
yone,49.50
viktor,51.78
katarina,56.81
veigar,51.76
talon,50.29
ryze,57.62
irelia,52.85
kassadin,48.29
lissandra,50.31
twisted fate,53.40
anivia,51.79
zoe,47.51
syndra,54.76
xerath,54.00
lux,54.26
akshan,49.88
vladimir,48.06
galio,51.33
corki,56.15
ekko,55.12
malzahar,49.15
orianna,56.43
qiyana,55.37
cassiopeia,52.82
pantheon,48.71
diana,48.68
neeko,43.90
azir,54.55
lucian,53.69
zeri,54.23
renekton,51.79
garen,41.45
sion,42.77
annie,48.26
malphite,52.69
rumble,47.79
sett,48.80
nunu & willump,46.61
zilean,39.81
cho'gath,48.57
aurelion sol,50.75
