opponent_name,champ_galio
ahri,45.35
leblanc,50.87
sylas,49.89
akali,54.21
vex,51.76
katarina,50.47
yone,49.23
yasuo,50.58
zed,51.65
viktor,47.99
ryze,56.28
talon,42.91
irelia,54.82
veigar,44.83
twisted fate,47.68
fizz,48.67
lissandra,51.12
zoe,53.62
anivia,50.19
kassadin,54.51
corki,49.02
syndra,54.55
xerath,46.67
lux,51.17
akshan,50.74
cassiopeia,51.98
orianna,51.76
lucian,48.70
vladimir,50.00
ekko,47.70
diana,55.36
qiyana,45.96
malzahar,44.03
zeri,44.44
azir,52.98
pantheon,53.44
neeko,51.72
annie,53.91
malphite,52.34
sion,54.81
nunu & willump,49.46
renekton,53.26
rumble,65.38
sett,49.32
garen,50.85
zilean,48.15
