opponent_name,champ_garen
zed,53.52
yasuo,52.00
ahri,50.98
yone,54.02
sylas,52.42
katarina,54.11
leblanc,52.69
irelia,53.31
vex,52.23
talon,46.38
viktor,53.07
akali,51.56
fizz,58.55
ryze,60.44
veigar,55.92
lissandra,49.45
anivia,47.25
twisted fate,53.41
akshan,50.59
malzahar,51.28
zoe,55.84
renekton,51.95
corki,56.58
kassadin,60.00
qiyana,59.72
lux,55.38
ekko,40.63
syndra,46.03
orianna,58.73
xerath,51.61
malphite,41.94
vladimir,56.67
galio,49.15
zeri,52.54
cassiopeia,55.93
sion,50.88
diana,67.27
sett,54.55
