opponent_name,champ_irelia
ahri,49.29
zed,53.39
akali,49.51
leblanc,49.03
vex,50.53
yasuo,49.30
yone,50.38
sylas,46.05
viktor,48.48
ryze,55.65
katarina,51.45
talon,50.57
veigar,47.03
lissandra,47.52
twisted fate,53.09
anivia,43.01
fizz,47.15
zoe,54.97
lux,47.97
syndra,51.27
corki,57.01
xerath,51.52
orianna,52.88
akshan,48.55
cassiopeia,46.41
ekko,48.33
malzahar,44.05
kassadin,49.70
vladimir,50.52
qiyana,50.42
malphite,47.39
azir,50.87
galio,45.18
sett,42.69
renekton,47.34
pantheon,48.86
neeko,43.43
diana,50.88
lucian,58.49
garen,46.69
annie,41.79
nunu & willump,45.99
sion,46.49
zeri,47.58
zilean,51.83
rumble,44.92
cho'gath,39.53
aurelion sol,44.35
singed,38.89
