opponent_name,champ_kassadin
ahri,49.17
leblanc,52.03
sylas,49.96
vex,51.39
katarina,50.30
veigar,53.13
viktor,51.14
yone,53.07
yasuo,49.23
akali,54.48
fizz,51.71
ryze,56.44
zed,46.69
talon,43.01
irelia,50.30
lissandra,54.58
anivia,48.78
twisted fate,50.81
zoe,50.26
lucian,49.48
corki,55.46
xerath,55.26
vladimir,51.88
syndra,53.21
malzahar,48.50
ekko,49.66
lux,46.55
akshan,48.42
orianna,49.62
galio,45.49
qiyana,46.77
diana,44.00
cassiopeia,46.35
pantheon,45.40
zeri,40.59
azir,51.18
neeko,46.88
renekton,50.67
sion,44.80
malphite,52.63
annie,46.49
nunu & willump,48.98
zilean,48.96
rumble,49.40
garen,40.00
sett,46.03
aurelion sol,34.55
cho'gath,50.00
