opponent_name,champ_katarina
ahri,50.37
leblanc,51.19
vex,48.37
yasuo,49.47
zed,49.74
sylas,50.08
yone,50.83
akali,51.26
viktor,47.30
talon,47.27
ryze,56.22
irelia,48.55
veigar,51.81
kassadin,49.70
lissandra,52.74
twisted fate,54.10
fizz,43.19
anivia,50.39
galio,49.53
akshan,49.88
zoe,51.54
lux,52.83
syndra,55.71
vladimir,43.22
xerath,52.24
malzahar,46.06
orianna,53.47
ekko,47.58
corki,52.90
qiyana,49.29
cassiopeia,47.62
diana,48.60
azir,48.99
pantheon,50.79
renekton,46.28
zeri,57.81
sion,53.02
malphite,43.91
annie,39.69
lucian,54.07
neeko,47.98
garen,45.89
nunu & willump,52.77
sett,49.22
rumble,45.60
zilean,47.03
cho'gath,45.55
aurelion sol,41.54
singed,40.37
