opponent_name,champ_leblanc
ahri,46.24
vex,43.94
zed,47.97
yasuo,49.08
viktor,48.12
sylas,49.30
lissandra,46.26
akali,50.10
yone,51.50
ryze,49.36
katarina,48.81
irelia,50.97
talon,47.11
veigar,44.64
kassadin,47.97
zoe,48.05
twisted fate,47.68
malzahar,43.76
akshan,45.74
syndra,52.81
anivia,43.77
lux,47.69
corki,48.96
fizz,48.96
xerath,48.68
orianna,49.88
galio,49.13
vladimir,48.75
cassiopeia,46.72
qiyana,49.78
ekko,47.91
diana,46.09
azir,52.99
lucian,53.64
sion,45.27
neeko,42.80
zeri,49.33
annie,45.08
pantheon,47.03
malphite,48.70
nunu & willump,47.98
zilean,51.33
rumble,48.98
renekton,49.58
garen,47.31
cho'gath,50.00
sett,53.51
aurelion sol,45.45
singed,39.88
