opponent_name,champ_lissandra
leblanc,53.74
ahri,49.34
zed,49.73
vex,51.21
sylas,48.93
yasuo,52.39
viktor,46.34
yone,50.62
akali,54.53
katarina,47.26
ryze,53.56
talon,47.66
irelia,52.48
veigar,47.09
fizz,49.69
twisted fate,53.74
anivia,45.58
corki,50.53
zoe,53.28
syndra,51.14
xerath,46.84
akshan,49.59
kassadin,45.42
lux,51.32
orianna,51.91
qiyana,49.06
ekko,48.17
cassiopeia,51.14
vladimir,51.67
galio,48.88
azir,53.04
malzahar,46.39
zeri,53.06
neeko,45.83
diana,47.68
lucian,52.31
sion,45.67
pantheon,52.97
malphite,47.70
nunu & willump,45.68
annie,48.39
zilean,42.36
rumble,49.24
cho'gath,39.81
renekton,54.81
garen,50.55
sett,51.22
singed,54.00
