opponent_name,champ_lucian
ahri,45.71
leblanc,46.36
vex,48.23
zed,47.69
yasuo,47.81
sylas,42.93
viktor,41.29
yone,50.00
ryze,54.99
akali,48.40
kassadin,50.52
katarina,45.93
veigar,46.31
talon,45.32
irelia,41.51
akshan,40.53
twisted fate,48.46
zoe,53.60
corki,48.31
anivia,42.13
lux,51.56
syndra,45.83
lissandra,47.69
fizz,46.31
galio,51.30
xerath,49.21
orianna,45.79
zeri,52.27
vladimir,41.57
cassiopeia,43.31
qiyana,46.85
malphite,47.86
ekko,41.73
malzahar,43.08
azir,40.50
neeko,38.61
diana,45.26
pantheon,36.47
sion,55.00
annie,41.10
zilean,55.56
nunu & willump,36.07
renekton,62.30
rumble,51.67
sett,44.83
