opponent_name,champ_lux
ahri,46.54
leblanc,52.31
vex,49.30
zed,47.75
viktor,48.87
yone,51.20
yasuo,46.48
sylas,49.85
akali,50.26
katarina,47.17
veigar,46.46
ryze,53.09
irelia,52.03
talon,49.54
xerath,44.72
anivia,48.53
twisted fate,49.50
fizz,45.74
zoe,48.30
syndra,54.27
lissandra,48.68
corki,54.52
akshan,49.18
malzahar,50.98
orianna,50.76
cassiopeia,44.70
kassadin,53.45
vladimir,50.56
ekko,50.57
azir,56.76
diana,43.67
qiyana,54.43
neeko,40.09
lucian,48.44
sion,47.44
galio,48.83
malphite,47.25
annie,45.56
pantheon,47.75
zeri,52.27
nunu & willump,50.00
renekton,48.54
zilean,50.53
rumble,46.81
sett,52.17
garen,44.62
cho'gath,48.33
aurelion sol,38.00
