opponent_name,champ_malphite
zed,56.14
ahri,48.91
sylas,43.44
yasuo,54.78
yone,52.96
leblanc,51.30
talon,48.80
vex,46.03
irelia,52.61
akali,48.64
katarina,56.09
viktor,51.00
akshan,59.27
ryze,57.64
veigar,44.81
twisted fate,40.61
lux,52.75
qiyana,53.63
lissandra,52.30
xerath,46.71
fizz,47.31
anivia,36.84
corki,51.33
syndra,55.24
lucian,52.14
zoe,51.47
ekko,56.39
malzahar,50.00
orianna,56.10
zeri,55.83
vladimir,50.00
kassadin,47.37
galio,47.66
cassiopeia,43.88
diana,48.96
azir,44.71
sion,49.40
renekton,53.01
neeko,47.44
pantheon,45.45
garen,58.06
rumble,44.26
annie,51.85
sett,43.14
