opponent_name,champ_malzahar
ahri,49.06
leblanc,56.24
zed,50.91
vex,49.53
yasuo,53.86
sylas,54.68
viktor,49.71
akali,56.20
yone,51.29
katarina,53.94
veigar,48.43
talon,51.54
ryze,56.94
irelia,55.95
twisted fate,53.50
zoe,58.48
xerath,50.13
anivia,48.85
corki,52.23
lux,49.02
fizz,50.85
orianna,48.21
syndra,54.17
kassadin,51.50
akshan,52.35
lissandra,53.61
vladimir,54.01
ekko,49.02
azir,48.43
cassiopeia,52.17
qiyana,55.68
diana,46.45
sion,53.76
zeri,49.10
galio,55.97
neeko,51.30
malphite,50.00
lucian,56.92
annie,52.59
pantheon,60.19
nunu & willump,50.96
zilean,46.94
rumble,46.67
garen,48.72
renekton,48.05
sett,55.56
cho'gath,45.10
