opponent_name,champ_neeko
ahri,51.63
vex,51.41
leblanc,57.20
yone,56.33
sylas,50.58
yasuo,52.17
zed,50.18
viktor,50.10
akali,52.76
talon,50.26
katarina,52.02
veigar,50.28
ryze,60.62
irelia,56.57
fizz,56.10
anivia,48.56
lissandra,54.17
twisted fate,46.84
zoe,48.70
lux,59.91
syndra,48.66
akshan,52.29
xerath,50.25
corki,56.84
orianna,54.29
kassadin,53.13
malzahar,48.70
ekko,48.97
qiyana,50.00
cassiopeia,48.41
vladimir,53.97
galio,48.28
azir,50.47
sion,43.81
lucian,61.39
zeri,58.59
diana,44.19
malphite,52.56
zilean,57.89
pantheon,52.05
nunu & willump,66.15
annie,51.79
renekton,64.81
rumble,52.83
