opponent_name,champ_nunu
ahri,47.72
zed,51.67
leblanc,52.02
vex,51.83
viktor,51.00
sylas,44.62
yasuo,52.66
yone,52.10
akali,51.96
ryze,56.41
katarina,47.23
veigar,45.70
irelia,54.01
talon,48.40
twisted fate,54.50
anivia,36.14
lissandra,54.32
xerath,60.26
zoe,52.35
akshan,60.42
corki,53.91
syndra,52.80
orianna,55.00
fizz,53.39
lux,50.00
ekko,43.81
malzahar,49.04
kassadin,51.02
cassiopeia,55.10
galio,50.54
vladimir,52.22
sion,43.84
qiyana,52.31
neeko,33.85
zeri,40.98
lucian,63.93
azir,65.45
pantheon,41.18
diana,41.18
