opponent_name,champ_orianna
ahri,48.15
vex,48.24
viktor,49.01
leblanc,50.12
sylas,51.40
yasuo,48.94
ryze,55.40
zed,46.63
yone,51.61
akali,48.25
katarina,46.37
irelia,47.12
veigar,44.27
talon,44.06
twisted fate,48.80
syndra,51.02
anivia,50.22
zoe,50.00
akshan,48.69
lissandra,48.09
xerath,45.32
corki,43.33
fizz,43.57
malzahar,51.79
lux,49.24
cassiopeia,49.22
ekko,48.47
kassadin,50.38
azir,55.16
vladimir,46.40
qiyana,48.52
galio,48.24
diana,43.23
lucian,54.21
neeko,45.71
zeri,46.24
sion,48.52
pantheon,49.67
annie,54.07
malphite,43.90
rumble,49.18
nunu & willump,45.00
zilean,51.75
renekton,47.76
sett,52.31
cho'gath,48.44
garen,41.27
