opponent_name,champ_pantheon
yasuo,51.77
ahri,49.08
zed,51.58
vex,55.21
yone,52.15
leblanc,52.97
sylas,53.73
katarina,49.21
akali,51.05
viktor,50.24
talon,48.55
ryze,60.83
irelia,51.14
veigar,47.06
fizz,51.29
akshan,55.79
twisted fate,55.71
lissandra,47.03
lux,52.25
anivia,48.00
kassadin,54.60
zoe,47.56
orianna,50.33
syndra,51.33
corki,54.11
qiyana,50.70
xerath,53.96
galio,46.56
vladimir,46.88
cassiopeia,48.41
ekko,44.72
malzahar,39.81
zeri,47.13
lucian,63.53
diana,43.53
azir,53.75
malphite,54.55
sion,44.74
renekton,56.16
neeko,47.95
sett,50.77
rumble,53.33
nunu & willump,58.82
