opponent_name,champ_qiyana
ahri,48.37
zed,52.18
leblanc,50.22
vex,48.30
sylas,48.47
yasuo,46.03
viktor,50.71
akali,48.62
yone,51.05
katarina,50.71
talon,50.16
ryze,50.57
veigar,43.48
irelia,49.58
lissandra,50.94
twisted fate,50.14
zoe,48.13
fizz,44.63
anivia,49.83
akshan,50.35
syndra,53.33
orianna,51.48
lux,45.57
xerath,54.04
ekko,48.90
corki,54.46
vladimir,51.71
kassadin,53.23
malzahar,44.32
malphite,46.37
cassiopeia,52.84
azir,44.44
galio,54.04
zeri,54.61
lucian,53.15
pantheon,49.30
neeko,50.00
renekton,55.64
diana,51.15
sion,53.72
zilean,51.69
annie,40.45
rumble,44.71
sett,51.39
garen,40.28
nunu & willump,47.69
