opponent_name,champ_renekton
yasuo,52.15
zed,51.37
yone,47.35
ahri,44.93
katarina,53.72
sylas,48.83
irelia,52.66
akali,49.86
leblanc,50.42
talon,49.25
vex,47.50
viktor,48.96
ryze,52.56
fizz,48.21
veigar,49.46
kassadin,49.33
akshan,54.55
qiyana,44.36
twisted fate,53.85
anivia,41.07
zoe,43.24
syndra,56.76
lissandra,45.19
lux,51.46
cassiopeia,45.00
diana,43.62
corki,47.31
vladimir,40.86
galio,46.74
ekko,53.93
malphite,46.99
zeri,35.37
xerath,53.75
malzahar,51.95
garen,48.05
pantheon,43.84
azir,49.28
orianna,52.24
lucian,37.70
neeko,35.19
sion,47.06
sett,54.00
