opponent_name,champ_rumble
ahri,47.97
zed,49.91
yasuo,54.23
vex,55.97
sylas,52.78
leblanc,51.02
akali,52.73
yone,46.01
viktor,46.60
ryze,53.71
talon,43.84
katarina,54.40
veigar,42.99
irelia,55.08
twisted fate,55.90
anivia,53.96
fizz,52.21
lissandra,50.76
syndra,52.67
corki,48.85
orianna,50.82
akshan,50.86
zoe,47.37
cassiopeia,54.72
xerath,42.42
lux,53.19
vladimir,51.09
malzahar,53.33
qiyana,55.29
kassadin,50.60
galio,34.62
ekko,57.14
zeri,37.88
azir,41.94
malphite,55.74
lucian,48.33
pantheon,46.67
neeko,47.17
diana,59.62
sion,50.98
