opponent_name,champ_ryze
ahri,43.58
leblanc,50.64
vex,47.14
viktor,44.00
zed,45.49
yone,46.48
yasuo,43.64
sylas,48.09
akali,46.96
veigar,40.56
katarina,43.78
talon,43.58
irelia,44.35
twisted fate,45.10
anivia,41.06
lissandra,46.44
orianna,44.60
zoe,46.92
syndra,49.95
akshan,45.78
xerath,48.45
fizz,42.38
corki,49.54
cassiopeia,45.03
lux,46.91
kassadin,43.56
ekko,48.91
qiyana,49.43
galio,43.72
vladimir,49.74
malzahar,43.06
azir,53.38
lucian,45.01
diana,41.13
zeri,43.45
sion,48.38
pantheon,39.17
neeko,39.38
malphite,42.36
annie,40.42
rumble,46.29
nunu & willump,43.59
zilean,40.08
renekton,47.44
garen,39.56
sett,45.56
cho'gath,41.14
aurelion sol,50.42
singed,42.61
