opponent_name,champ_sett
yasuo,49.38
zed,48.16
irelia,57.31
yone,54.81
ahri,50.37
sylas,52.93
talon,50.36
katarina,50.78
vex,52.59
leblanc,46.05
akali,47.95
viktor,49.75
ryze,54.44
fizz,51.20
veigar,47.06
twisted fate,54.72
akshan,42.55
lissandra,48.78
anivia,39.51
zoe,54.55
syndra,57.33
galio,50.68
sion,43.06
qiyana,48.61
xerath,51.43
lux,47.83
vladimir,44.78
orianna,47.69
pantheon,49.23
malzahar,44.44
kassadin,53.97
ekko,47.62
corki,51.61
zeri,44.26
lucian,55.17
garen,45.45
cassiopeia,45.45
azir,40.74
malphite,56.86
renekton,46.00
