opponent_name,champ_sion
ahri,47.39
zed,56.05
leblanc,54.73
vex,51.17
viktor,47.40
sylas,48.73
yone,47.37
yasuo,48.35
akali,54.20
katarina,46.98
veigar,48.58
ryze,51.62
talon,47.44
twisted fate,51.71
anivia,37.39
irelia,53.51
lux,52.56
lissandra,54.33
syndra,51.94
corki,48.22
akshan,47.40
malzahar,46.24
fizz,57.23
orianna,51.48
zoe,51.48
cassiopeia,41.61
xerath,54.37
ekko,48.57
vladimir,49.28
kassadin,55.20
qiyana,46.28
azir,50.44
neeko,56.19
galio,45.19
zeri,44.00
diana,60.92
malphite,50.60
lucian,45.00
pantheon,55.26
nunu & willump,56.16
sett,56.94
annie,58.82
garen,49.12
zilean,60.38
rumble,49.02
renekton,52.94
